kl_dog,kl_cat,loss_cat,loss_dog
168574.3,1899.652,2.0481923,2.3578694
168557.55,1899.6283,2.505963,2.5085156
168540.84,1899.6198,2.781941,2.3540766
168524.08,1899.539,2.4920604,2.6060867
168507.39,1899.5524,2.2860703,2.5605404
168490.72,1899.5515,2.8861532,2.6889617
168474.02,1899.47,2.353409,1.9789325
168457.3,1899.3827,2.3407054,2.0904574
168440.56,1899.3356,2.2577605,3.0575557
168423.88,1899.2595,2.8646963,3.7341669
168407.22,1899.1929,2.7029796,2.4923673
168390.55,1899.1283,2.334418,2.7437804
168374.02,1899.1823,3.797572,4.1069756
168357.3,1899.0194,10.603571,12.517322
168340.61,1898.85,12.463732,13.392906
168323.97,1898.6753,11.343645,11.594289
168307.25,1898.4913,7.950451,8.111221
168290.53,1898.3855,4.4731703,5.0176086
168273.89,1898.2367,8.459326,9.567572
168257.17,1898.108,11.269271,11.330086
168240.56,1897.9541,13.185357,13.416652
168223.94,1897.7789,10.280838,11.8481045
168207.2,1897.7042,7.8308215,7.863231
168190.56,1897.5554,7.5009146,8.134741
168173.88,1897.5361,8.421071,8.426778
168157.28,1897.5767,12.652186,12.153586
168140.67,1897.7646,9.173394,9.227568
168124.02,1897.8666,11.387048,11.312299
168107.42,1899.0199,4.8988237,5.599225
168090.78,1899.3356,11.011268,10.944451
168074.33,1899.3859,10.189208,10.358657
168057.7,1900.222,10.634121,10.407934
168041.03,1900.5819,10.0724745,9.576317
168024.36,1902.4221,9.334497,9.404517
168007.83,1902.6455,10.255997,10.41651
167991.16,1902.7167,7.781488,7.964281
167974.48,1902.7275,9.199643,10.555696
167957.83,1903.6184,9.103398,9.303762
167941.17,1915.2113,8.612471,8.627277
167924.81,1915.3622,10.545079,10.753039
167908.23,1915.289,10.009863,9.867733
167891.7,1915.1324,11.37443,11.731815
167875.06,1915.0424,8.778511,9.0246725
167858.48,1914.994,9.648472,9.593614
167841.88,1914.9137,7.9607964,7.543802
167825.31,1914.8708,6.019173,6.0244684
167808.72,1914.7899,10.557753,10.391608
167792.1,1915.642,9.326855,9.008994
167775.5,1915.7926,8.450085,9.0066395
167758.88,1915.6747,8.83102,8.553315
167742.58,1915.5936,9.053076,9.452647
167726.05,1915.4684,10.513218,10.677986
167709.55,1915.358,11.36209,11.658424
167693.03,1915.3207,9.9533205,9.875449
167676.44,1915.1608,9.614245,9.749627
167659.84,1915.037,8.628959,8.744311
167643.3,1914.8689,6.834486,7.0509133
167626.75,1914.681,8.208497,8.50903
167610.14,1914.5476,7.03153,7.324666
167593.66,1914.4604,10.738099,10.853606
167586.36,1914.3423,10.510613,10.560832
167569.86,1914.1831,7.833573,8.035115
167553.33,1914.1168,8.913604,9.152453
167536.75,1913.9696,8.409694,8.408931
167520.19,1913.8398,9.290401,9.213892
167503.61,1913.7451,7.333954,7.169447
167487.27,1913.7686,9.645814,10.390746
167470.7,1913.6309,9.188542,8.434135
167456.16,1913.5294,10.887033,11.849221
167439.66,1913.5201,8.995131,8.952326
167423.08,1913.3578,8.570397,8.025168
167406.55,1913.3203,8.07682,8.218712
