loss,reconstruction_loss,kl_loss
24305.6796875,23981.63671875,324.04815673828125
20354.34765625,19976.6796875,377.6908264160156
19398.19921875,18996.919921875,401.29632568359375
18541.93359375,18125.158203125,416.7732849121094
17743.26953125,17316.2890625,426.9827880859375
17352.388671875,16919.75390625,432.64031982421875
17135.177734375,16698.466796875,436.72119140625
16952.369140625,16512.96484375,439.39288330078125
16810.615234375,16369.1181640625,441.5074157714844
16680.671875,16238.5078125,442.1758117675781
16570.7734375,16128.7724609375,442.0088195800781
16476.9375,16034.33203125,442.61273193359375
16386.099609375,15943.83203125,442.2569274902344
16284.990234375,15843.1884765625,441.8021240234375
16031.119140625,15586.6875,444.43353271484375
15887.9033203125,15443.556640625,444.34490966796875
15808.2392578125,15363.9306640625,444.3081970214844
15742.09765625,15297.79296875,444.32635498046875
15681.6953125,15237.5810546875,444.1143493652344
15623.1787109375,15178.361328125,444.7949523925781
15575.787109375,15130.990234375,444.77716064453125
15501.6435546875,15056.4716796875,445.1588439941406
15455.078125,15009.3740234375,445.703369140625
15387.0537109375,14941.3095703125,445.7408752441406
15350.634765625,14904.884765625,445.7467041015625
15303.9755859375,14857.939453125,446.0378723144531
15256.9248046875,14810.9599609375,445.95355224609375
15220.5986328125,14773.7626953125,446.82867431640625
15175.2822265625,14728.296875,446.98974609375
15134.00390625,14686.8701171875,447.12921142578125
15092.2099609375,14644.5771484375,447.6326904296875
15044.8935546875,14596.86328125,448.0294189453125
15026.140625,14578.39453125,447.7545471191406
14997.8818359375,14549.626953125,448.25482177734375
14954.4033203125,14505.9189453125,448.484619140625
14934.490234375,14486.2314453125,448.25323486328125
14900.26171875,14451.830078125,448.4130859375
14888.435546875,14440.0302734375,448.4003601074219
14845.8330078125,14396.7119140625,449.11322021484375
14831.673828125,14382.4248046875,449.2449951171875
14797.5009765625,14348.486328125,449.01824951171875
14766.109375,14316.4140625,449.6926574707031
14767.7060546875,14317.7958984375,449.914306640625
14729.1435546875,14278.880859375,450.27099609375
14703.1005859375,14252.4140625,450.6842041015625
14687.9111328125,14237.16015625,450.75030517578125
14654.1923828125,14202.7998046875,451.3755798339844
14642.34375,14190.703125,451.6495361328125
14621.0849609375,14169.224609375,451.8528747558594
14594.34375,14142.3310546875,452.0072326660156
14566.791015625,14114.7421875,452.059814453125
14557.75390625,14105.091796875,452.6573791503906
14535.212890625,14082.3984375,452.8174133300781
14507.8994140625,14054.4384765625,453.4662170410156
14492.7080078125,14038.9208984375,453.7936096191406
14480.5107421875,14027.08203125,453.42816162109375
14457.1240234375,14002.818359375,454.30255126953125
14438.61328125,13984.44140625,454.188720703125
14427.7998046875,13973.267578125,454.5323181152344
14409.1875,13954.94921875,454.2380065917969
14388.8896484375,13933.99609375,454.896728515625
14380.568359375,13925.5556640625,455.0090026855469
14350.9931640625,13895.55859375,455.4255065917969
14337.8701171875,13881.8974609375,455.9678955078125
14328.705078125,13872.4677734375,456.2491760253906
14313.23046875,13857.1826171875,456.0433349609375
14294.5947265625,13837.6328125,456.9566955566406
14276.5869140625,13818.91796875,457.6611022949219
14256.513671875,13799.201171875,457.30828857421875
14244.66796875,13787.1796875,457.4945983886719
14227.8701171875,13769.58984375,458.2875061035156
14217.69921875,13759.3125,458.3952331542969
14192.6806640625,13733.9716796875,458.7143859863281
14186.197265625,13727.6875,458.51556396484375
14169.0185546875,13709.8935546875,459.12615966796875
14147.51953125,13687.7578125,459.7509765625
14130.86328125,13670.703125,460.17095947265625
14125.1484375,13664.9423828125,460.2033386230469
14108.921875,13647.79296875,461.12481689453125
14095.0068359375,13634.11328125,460.8955078125
14072.4248046875,13611.02734375,461.3984680175781
14067.2197265625,13605.927734375,461.2917785644531
14055.4013671875,13593.8603515625,461.5472717285156
14036.51953125,13574.6298828125,461.8902893066406
14023.8427734375,13561.7744140625,462.0791931152344
14012.8056640625,13550.443359375,462.3583068847656
14001.359375,13538.5078125,462.8516540527344
13986.623046875,13523.4931640625,463.13714599609375
13976.1494140625,13512.6630859375,463.4942932128906
13959.4580078125,13496.0703125,463.3876647949219
13943.2587890625,13479.638671875,463.6380920410156
13942.1298828125,13477.7744140625,464.35797119140625
13923.7060546875,13459.6650390625,464.0496520996094
13916.33203125,13451.8896484375,464.44171142578125
13901.5498046875,13436.6435546875,464.9087219238281
13890.8212890625,13425.4951171875,465.3274841308594
13870.1650390625,13404.693359375,465.4672546386719
13856.962890625,13391.1708984375,465.7837829589844
13850.6708984375,13384.86328125,465.8057861328125
13845.0478515625,13378.705078125,466.3446960449219
13825.283203125,13358.5595703125,466.7215270996094
13812.9521484375,13346.033203125,466.91156005859375
13807.1494140625,13340.224609375,466.9234313964844
13790.4921875,13323.251953125,467.24322509765625
13786.328125,13318.677734375,467.6562805175781
13770.94921875,13303.2802734375,467.6551818847656
13769.11328125,13300.671875,468.44927978515625
13747.1669921875,13278.908203125,468.2564392089844
13738.818359375,13269.7412109375,469.0777282714844
13729.3515625,13260.82421875,468.52032470703125
13710.8447265625,13241.8486328125,468.9833679199219
13711.5009765625,13241.97265625,469.5347595214844
13696.9208984375,13227.55859375,469.36114501953125
13688.5107421875,13218.8291015625,469.6734313964844
13678.3623046875,13208.04296875,470.3098449707031
13662.72265625,13192.5009765625,470.2247314453125
13652.158203125,13181.6416015625,470.5226135253906
13644.7392578125,13174.1943359375,470.54010009765625
13641.765625,13170.5673828125,471.20355224609375
13622.5146484375,13151.3369140625,471.183349609375
13618.71484375,13147.15234375,471.56793212890625
13612.7578125,13141.044921875,471.70770263671875
13594.7666015625,13122.8232421875,471.9418029785156
13581.6025390625,13109.4345703125,472.1587829589844
13583.9306640625,13112.0859375,471.8445739746094
13573.1240234375,13100.4892578125,472.64190673828125
13557.2578125,13084.6416015625,472.6097106933594
13556.5439453125,13083.5205078125,473.0101623535156
13535.7412109375,13062.4765625,473.2547302246094
13529.9638671875,13056.41015625,473.5384826660156
13525.4599609375,13051.703125,473.75762939453125
13510.0341796875,13035.990234375,474.0524597167969
13508.2861328125,13034.1328125,474.13885498046875
13491.7529296875,13017.3642578125,474.38519287109375
13485.0517578125,13010.7080078125,474.3518371582031
13480.66015625,13006.1396484375,474.52532958984375
